Site,Species,Breed,Pet_DOB,Gender,Neutered,Purchase_Price
PDSA,Dog,Spaniel (English Springer),01/07/2020,Male,No,1200
PDSA,Dog,Staffordshire Bull Terrier,01/01/2019,Male,Yes,700
PDSA,Dog,West Highland White Terrier,20/06/2017,Female,Yes,50
PDSA,Dog,Whippet,01/10/2016,Male,No,409
PDSA,Dog,Whippet,01/10/2015,Male,No,400
PDSA,Dog,Yorkshire Terrier,01/01/2022,Male,No,850
PDSA,Dog,A MEDIUM MONGREL (10 - 20KG),01/01/2020,Male,Yes,650
PDSA,Dog,American Water Spaniel,07/10/2020,Male,No,260
PDSA,Dog,Border Collie,01/01/2021,Female,No,1000
PDSA,Dog,Cavalier King Charles Spaniel,01/05/2020,Female,Yes,2700
